                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    108,                0.71436,                0.37036,                0.93573,                 0.9897,                      1,                  0.995,                0.87884,                      0,                    inf,                      0,              0.0047035,              0.0047035,              0.0047035
                    109,                 0.7278,                0.36797,                0.95649,                0.99529,                0.99231,                  0.995,                0.87503,                      0,                    inf,                      0,               0.004654,               0.004654,               0.004654
                    110,                0.70542,                0.36723,                0.94757,                0.99923,                      1,                  0.995,                0.87884,                      0,                    inf,                      0,              0.0046045,              0.0046045,              0.0046045
                    111,                0.71774,                0.37107,                0.94367,                0.99748,                0.99061,                  0.995,                 0.8676,                      0,                    inf,                      0,               0.004555,               0.004555,               0.004555
                    112,                 0.7181,                0.36788,                0.94399,                0.99532,                0.99934,                  0.995,                0.87196,                      0,                    inf,                      0,              0.0045055,              0.0045055,              0.0045055
                    113,                 0.7105,                0.36336,                0.94012,                0.99916,                      1,                  0.995,                0.88669,                      0,                    inf,                      0,               0.004456,               0.004456,               0.004456
                    114,                0.69541,                0.35964,                0.93916,                0.99483,                      1,                  0.995,                0.88834,                      0,                    inf,                      0,              0.0044065,              0.0044065,              0.0044065
                    115,                0.69647,                0.36259,                0.93844,                0.99924,                      1,                  0.995,                0.89462,                      0,                    inf,                      0,               0.004357,               0.004357,               0.004357
                    116,                0.69682,                0.35662,                0.94663,                0.99478,                      1,                  0.995,                0.87376,                      0,                    inf,                      0,              0.0043075,              0.0043075,              0.0043075
                    117,                0.68129,                0.35953,                0.93479,                0.99298,                      1,                0.99495,                0.87998,                      0,                    inf,                      0,               0.004258,               0.004258,               0.004258
                    118,                0.69407,                0.35549,                0.93859,                0.99741,                0.99531,                  0.995,                0.88464,                      0,                    inf,                      0,              0.0042085,              0.0042085,              0.0042085
                    119,                0.69648,                0.35979,                0.94294,                0.99877,                      1,                  0.995,                0.88451,                      0,                    inf,                      0,               0.004159,               0.004159,               0.004159
                    120,                0.69188,                0.35119,                0.93416,                 0.9902,                      1,                0.99491,                0.88621,                      0,                    inf,                      0,              0.0041095,              0.0041095,              0.0041095
                    121,                0.67715,                0.35013,                0.92436,                0.99435,                      1,                0.99495,                0.88951,                      0,                    inf,                      0,                0.00406,                0.00406,                0.00406
                    122,                0.68026,                0.35384,                0.93283,                0.99913,                      1,                  0.995,                0.89405,                      0,                    inf,                      0,              0.0040105,              0.0040105,              0.0040105
                    123,                0.70239,                0.35868,                0.94527,                0.99252,                      1,                0.99472,                0.89048,                      0,                    inf,                      0,               0.003961,               0.003961,               0.003961
                    124,                0.65927,                0.34633,                0.93105,                0.99638,                      1,                  0.995,                0.90298,                      0,                    inf,                      0,              0.0039115,              0.0039115,              0.0039115
